"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UPPER","2022-03-09","600","608","585.1","587.1","-2.31 %","74,336.00"
"UPPER","2022-03-07","608.9","615","600.4","601","-1.15 %","69,815.00"
"UPPER","2022-03-06","615","620","601","608","-0.65 %","78,026.00"
"UPPER","2022-03-02","647.7","647.7","610","612","-3.62 %","146,443.00"
"UPPER","2022-02-28","660.9","670","630","635","-2.01 %","203,936.00"
"UPPER","2022-02-27","635","657","634","648","2.05 %","101,292.00"
"UPPER","2022-02-24","638","650.7","630","635","-2.46 %","136,037.00"
"UPPER","2022-02-23","650","660","645","651","0.31 %","73,242.00"
"UPPER","2022-02-22","659","660","646","649","-0.15 %","93,051.00"
"UPPER","2022-02-21","640","652","640","650","1.56 %","59,236.00"
"UPPER","2022-02-20","639","657","625","640","-1.84 %","133,964.00"
"UPPER","2022-02-17","651","662.5","645","652","0.11 %","71,305.00"
"UPPER","2022-02-16","664","677","648","651.3","-2.49 %","110,381.00"
"UPPER","2022-02-15","645","670","639.6","667.9","4.51 %","93,445.00"
"UPPER","2022-02-14","635","659.9","635","639.1","-1.07 %","144,770.00"
"UPPER","2022-02-13","690.9","690.9","638","646","-8.37 %","500,474.00"
"UPPER","2022-02-10","704.7","725","704","705","-1.95 %","192,947.00"
"UPPER","2022-02-09","723.9","725","711.1","719","-0.68 %","147,342.00"
"UPPER","2022-02-08","761.9","777","720","723.9","0.00 %","434,928.00"
"UPPER","2022-02-07","746","758","737","747","0.40 %","179,594.00"
"UPPER","2022-02-06","740","768","738.1","744","-0.92 %","300,362.00"
"UPPER","2022-02-03","781.3","781.3","747","750.9","-1.97 %","311,026.00"
"UPPER","2022-02-01","750","769.9","736","766","3.51 %","446,461.00"
"UPPER","2022-01-31","740","758","721.3","740","1.90 %","429,295.00"
"UPPER","2022-01-30","706","731","706","726.2","4.79 %","194,945.00"
"UPPER","2022-01-27","697","705","690","693","-0.29 %","92,441.00"
"UPPER","2022-01-26","707","708.9","686","695","-1.70 %","148,123.00"
"UPPER","2022-01-25","704","720","692","707","0.43 %","174,112.00"
"UPPER","2022-01-24","730","730","698","704","-4.09 %","285,223.00"
"UPPER","2022-01-23","745","753.5","732","734","-1.08 %","179,584.00"
"UPPER","2022-01-20","726","744.6","721","742","2.34 %","179,294.00"
"UPPER","2022-01-19","739","744","718","725","-1.36 %","208,919.00"
"UPPER","2022-01-18","745","759","726","735","-0.68 %","254,354.00"
"UPPER","2022-01-17","755","755","736","740","-1.33 %","323,041.00"
"UPPER","2022-01-16","750","780.1","741","750","0.00 %","390,144.00"
"UPPER","2022-01-13","695","760","695","750","7.14 %","467,073.00"
"UPPER","2022-01-12","690","726","686.1","700","1.73 %","320,426.00"
"UPPER","2022-01-11","694","700","683","688.1","0.01 %","106,463.00"
"UPPER","2022-01-10","700","707","683","688","-0.85 %","187,670.00"
"UPPER","2022-01-09","674","700","670","693.9","4.19 %","292,505.00"
"UPPER","2022-01-06","646.6","670","646.6","666","1.99 %","106,841.00"
"UPPER","2022-01-05","655","680","646","653","-0.31 %","216,456.00"
"UPPER","2022-01-04","631.1","662","626.4","652","3.49 %","1,881.00"
"UPPER","2022-01-04","631.1","662","626.4","655","3.97 %","160,123.00"
"UPPER","2022-01-03","635","642","628","630","-0.32 %","119,110.00"
"UPPER","2022-01-02","620","640","620","632","2.27 %","108,017.00"
"UPPER","2021-12-29","633","633","612","618","-0.96 %","57,495.00"
"UPPER","2021-12-28","617","625","606","624","1.13 %","64,439.00"
"UPPER","2021-12-27","643","650","616.1","617","-3.89 %","125,794.00"
"UPPER","2021-12-26","640","650","630","642","0.78 %","145,788.00"
"UPPER","2021-12-23","661.9","675","636","637","-1.85 %","151,904.00"
"UPPER","2021-12-22","600","649","596","649","10.00 %","251,923.00"
"UPPER","2021-12-21","585","593","575","590","2.61 %","45,200.00"
"UPPER","2021-12-20","591.6","591.6","565","575","-0.86 %","64,214.00"
"UPPER","2021-12-16","595","600","578","580","-4.29 %","65,758.00"
"UPPER","2021-12-15","621.1","645","587.2","606","-0.49 %","128,496.00"
"UPPER","2021-12-14","577","610","567","609","7.60 %","57,835.00"
"UPPER","2021-12-13","565.6","580","555","566","-1.92 %","119,851.00"
"UPPER","2021-12-12","593","602","577","577.1","-3.49 %","97,935.00"
"UPPER","2021-12-09","598.2","609","588","598","0.17 %","78,599.00"
"UPPER","2021-12-08","621","621","590","597","-2.13 %","67,266.00"
"UPPER","2021-12-07","637","648","608","610","-2.40 %","86,639.00"
"UPPER","2021-12-06","590.5","634","581","625","3.73 %","188,049.00"
"UPPER","2021-12-05","625","626","599","602.5","-4.06 %","106,303.00"
"UPPER","2021-12-02","650","650","627","628","-2.18 %","74,865.00"
"UPPER","2021-12-01","657","665","640","642","-0.47 %","54,816.00"
"UPPER","2021-11-30","654","665","638","645","-1.23 %","78,725.00"
"UPPER","2021-11-29","648.9","667","640","653","0.62 %","96,812.00"
"UPPER","2021-11-28","668","678","641.9","649","-4.43 %","191,620.00"
"UPPER","2021-11-25","695","695","679","679.1","-1.29 %","71,470.00"
"UPPER","2021-11-24","686","695","670","688","0.29 %","105,151.00"
"UPPER","2021-11-23","700","704","676.2","686","-2.00 %","103,747.00"
"UPPER","2021-11-22","692","714","690","700","1.16 %","151,848.00"
"UPPER","2021-11-21","690","702","670.4","692","1.91 %","221,042.00"
"UPPER","2021-11-18","719.5","748","672.1","679","-3.74 %","567,392.00"
"UPPER","2021-11-17","654.1","705.4","654.1","705.4","10.00 %","95,049.00"
"UPPER","2021-11-16","585","641.3","585","641.3","10.00 %","56,418.00"
"UPPER","2021-11-15","575","592","575","583","1.39 %","35,728.00"
"UPPER","2021-11-14","575","585","570","575","-0.35 %","47,504.00"
"UPPER","2021-11-11","603.6","603.6","570","577","-2.53 %","60,730.00"
"UPPER","2021-11-09","615","616","585","592","-3.74 %","91,101.00"
"UPPER","2021-11-08","625","630","611.2","615","-1.13 %","40,577.00"
"UPPER","2021-11-03","631","643","615","622","0.48 %","75,569.00"
"UPPER","2021-11-02","622","623.5","601","619","-0.48 %","53,237.00"
"UPPER","2021-11-01","645","654","615","622","-3.57 %","102,525.00"
"UPPER","2021-10-31","620","653","615","645","5.22 %","79,360.00"
"UPPER","2021-10-28","598.9","620","598.9","613","0.33 %","60,408.00"
"UPPER","2021-10-27","637","637","601","611","-2.24 %","72,263.00"
"UPPER","2021-10-26","615","634","606","625","2.46 %","92,682.00"
"UPPER","2021-10-25","560","613","555","610","8.16 %","74,705.00"
"UPPER","2021-10-24","564","575","555","564","1.26 %","49,683.00"
"UPPER","2021-10-21","567","578.6","556","557","-3.40 %","40,495.00"
"UPPER","2021-10-20","569.1","580.4","560","576.6","3.33 %","45,457.00"
"UPPER","2021-10-19","576","577","550.1","558","-3.96 %","63,684.00"
"UPPER","2021-10-18","595","600","578","581","-3.65 %","48,699.00"
"UPPER","2021-10-17","617.1","617.1","598","603","-0.33 %","21,283.00"
"UPPER","2021-10-11","615","615","595.1","605","-0.35 %","51,447.00"
"UPPER","2021-10-10","632","644","603.1","607.1","-2.08 %","46,901.00"
"UPPER","2021-10-06","595","624","595","620","4.73 %","66,171.00"
"UPPER","2021-10-05","580","597","573","592","2.60 %","51,718.00"
"UPPER","2021-10-04","597","600","575","577","-3.35 %","89,620.00"
"UPPER","2021-10-03","625","627","595","597","-3.54 %","84,606.00"
"UPPER","2021-09-30","647.9","648","617.4","618.9","-2.69 %","75,484.00"
"UPPER","2021-09-29","625","643","615","636","1.76 %","98,388.00"
"UPPER","2021-09-28","640","659.8","625","625","-3.85 %","129,954.00"
"UPPER","2021-09-27","664","688.5","645","650","-0.15 %","124,786.00"
"UPPER","2021-09-26","678","679","650","651","-3.84 %","116,502.00"
"UPPER","2021-09-23","699","712","671","677","-2.31 %","109,461.00"
